State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Washington,King,53,033,1980-01-01,32,Good,CO,53-033-0076,11
Washington,King,53,033,1980-01-02,72,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-03,82,Moderate,CO,53-033-0062,14
Washington,King,53,033,1980-01-04,128,Unhealthy for Sensitive Groups,CO,53-033-0077,14
Washington,King,53,033,1980-01-05,89,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-06,61,Moderate,CO,53-033-1003,14
Washington,King,53,033,1980-01-07,103,Unhealthy for Sensitive Groups,CO,53-033-0062,13
Washington,King,53,033,1980-01-08,51,Moderate,CO,53-033-0062,14
Washington,King,53,033,1980-01-09,94,Moderate,SO2,53-033-0014,14
Washington,King,53,033,1980-01-10,63,Moderate,CO,53-033-0077,10
Washington,King,53,033,1980-01-11,106,Unhealthy for Sensitive Groups,CO,53-033-0077,13
Washington,King,53,033,1980-01-12,70,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-01-13,56,Moderate,SO2,53-033-0057,13
Washington,King,53,033,1980-01-14,81,Moderate,SO2,53-033-0014,12
Washington,King,53,033,1980-01-15,77,Moderate,CO,53-033-0062,11
Washington,King,53,033,1980-01-16,168,Unhealthy,CO,53-033-0077,13
Washington,King,53,033,1980-01-17,92,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-01-18,123,Unhealthy for Sensitive Groups,CO,53-033-0077,13
Washington,King,53,033,1980-01-19,90,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-20,79,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-21,128,Unhealthy for Sensitive Groups,CO,53-033-0077,14
Washington,King,53,033,1980-01-22,99,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-23,142,Unhealthy for Sensitive Groups,CO,53-033-0075,14
Washington,King,53,033,1980-01-24,133,Unhealthy for Sensitive Groups,CO,53-033-0075,14
Washington,King,53,033,1980-01-25,76,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-26,64,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-01-27,45,Good,CO,53-033-0077,13
Washington,King,53,033,1980-01-28,82,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-01-29,91,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-01-30,89,Moderate,NO2,53-033-0080,12
Washington,King,53,033,1980-01-31,76,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-01,77,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-02,67,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-03,47,Good,CO,53-033-0075,11
Washington,King,53,033,1980-02-04,92,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-05,103,Unhealthy for Sensitive Groups,NO2,53-033-0080,13
Washington,King,53,033,1980-02-06,69,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-02-07,89,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-08,118,Unhealthy for Sensitive Groups,CO,53-033-0077,13
Washington,King,53,033,1980-02-09,125,Unhealthy for Sensitive Groups,SO2,53-033-0013,14
Washington,King,53,033,1980-02-10,133,Unhealthy for Sensitive Groups,CO,53-033-0074,13
Washington,King,53,033,1980-02-11,110,Unhealthy for Sensitive Groups,NO2,53-033-0080,14
Washington,King,53,033,1980-02-12,107,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-02-13,95,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-02-14,96,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-15,100,Moderate,NO2,53-033-0080,14
Washington,King,53,033,1980-02-16,89,Moderate,NO2,53-033-0080,14
Washington,King,53,033,1980-02-17,79,Moderate,NO2,53-033-0080,14
Washington,King,53,033,1980-02-18,112,Unhealthy for Sensitive Groups,SO2,53-033-0014,13
Washington,King,53,033,1980-02-19,99,Moderate,CO,53-033-0051,11
Washington,King,53,033,1980-02-20,69,Moderate,SO2,53-033-0014,14
Washington,King,53,033,1980-02-21,99,Moderate,CO,53-033-0051,13
Washington,King,53,033,1980-02-22,92,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-23,89,Moderate,NO2,53-033-0080,13
Washington,King,53,033,1980-02-24,61,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-02-25,75,Moderate,CO,53-033-0062,13
Washington,King,53,033,1980-02-26,89,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-02-27,109,Unhealthy for Sensitive Groups,CO,53-033-0077,14
Washington,King,53,033,1980-02-28,139,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-02-29,107,Unhealthy for Sensitive Groups,SO2,53-033-0057,14
Washington,King,53,033,1980-03-01,103,Unhealthy for Sensitive Groups,NO2,53-033-0080,10
Washington,King,53,033,1980-03-02,79,Moderate,NO2,53-033-0080,10
Washington,King,53,033,1980-03-03,96,Moderate,CO,53-033-0051,10
Washington,King,53,033,1980-03-04,69,Moderate,SO2,53-033-0014,12
Washington,King,53,033,1980-03-05,65,Moderate,CO,53-033-0051,14
Washington,King,53,033,1980-03-06,103,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-03-07,103,Unhealthy for Sensitive Groups,NO2,53-033-0080,10
Washington,King,53,033,1980-03-08,70,Moderate,CO,53-033-0075,10
Washington,King,53,033,1980-03-09,61,Moderate,CO,53-033-0075,10
Washington,King,53,033,1980-03-10,55,Moderate,CO,53-033-0077,10
Washington,King,53,033,1980-03-11,67,Moderate,CO,53-033-0077,10
Washington,King,53,033,1980-03-12,112,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-03-13,198,Unhealthy,SO2,53-033-0014,14
Washington,King,53,033,1980-03-14,121,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-03-15,51,Moderate,CO,53-033-0075,11
Washington,King,53,033,1980-03-16,43,Good,SO2,53-033-0074,14
Washington,King,53,033,1980-03-17,79,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-03-18,139,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-03-19,94,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-03-20,121,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-03-21,55,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-03-22,56,Moderate,SO2,53-033-0014,14
Washington,King,53,033,1980-03-23,112,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-03-24,134,Unhealthy for Sensitive Groups,SO2,53-033-0014,13
Washington,King,53,033,1980-03-25,130,Unhealthy for Sensitive Groups,SO2,53-033-0013,12
Washington,King,53,033,1980-03-26,69,Moderate,SO2,53-033-0014,12
Washington,King,53,033,1980-03-27,107,Unhealthy for Sensitive Groups,SO2,53-033-0014,12
Washington,King,53,033,1980-03-28,59,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-03-29,44,Good,CO,53-033-0077,10
Washington,King,53,033,1980-03-30,43,Good,SO2,53-033-0074,12
Washington,King,53,033,1980-03-31,71,Moderate,CO,53-033-0051,12
Washington,King,53,033,1980-04-01,65,Moderate,CO,53-033-0051,11
Washington,King,53,033,1980-04-02,72,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-04-03,94,Moderate,SO2,53-033-0057,14
Washington,King,53,033,1980-04-04,200,Unhealthy,SO2,53-033-0014,14
Washington,King,53,033,1980-04-05,112,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-04-06,107,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-04-07,134,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-04-08,74,Moderate,CO,53-033-0051,14
Washington,King,53,033,1980-04-09,56,Moderate,SO2,53-033-0057,13
Washington,King,53,033,1980-04-10,125,Unhealthy for Sensitive Groups,SO2,53-033-0013,14
Washington,King,53,033,1980-04-11,90,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-04-12,71,Moderate,CO,53-033-0077,14
Washington,King,53,033,1980-04-13,74,Moderate,CO,53-033-0077,11
Washington,King,53,033,1980-04-14,107,Unhealthy for Sensitive Groups,SO2,53-033-0014,14
Washington,King,53,033,1980-04-15,103,Unhealthy for Sensitive Groups,SO2,53-033-0013,14
